Z,DIST
0.872,2980.764
0.873,2983.385
0.874,2986.005
0.875,2988.623
0.876,2991.240
0.877,2993.855
0.878,2996.469
0.879,2999.081
0.880,3001.691
0.881,3004.300
0.882,3006.908
0.883,3009.513
0.884,3012.118
0.885,3014.721
0.886,3017.322
0.887,3019.922
0.888,3022.520
0.889,3025.116
0.890,3027.711
0.891,3030.305
0.892,3032.897
0.893,3035.488
0.894,3038.077
0.895,3040.664
0.896,3043.250
0.897,3045.835
0.898,3048.417
0.899,3050.999
0.900,3053.579
0.901,3056.157
0.902,3058.734
0.903,3061.309
0.904,3063.883
0.905,3066.455
0.906,3069.026
0.907,3071.595
0.908,3074.163
0.909,3076.729
0.910,3079.294
0.911,3081.857
0.912,3084.419
0.913,3086.979
0.914,3089.538
0.915,3092.095
0.916,3094.651
0.917,3097.205
0.918,3099.758
0.919,3102.309
0.920,3104.858
0.921,3107.407
0.922,3109.953
0.923,3112.499
0.924,3115.042
0.925,3117.584
0.926,3120.125
0.927,3122.664
0.928,3125.202
0.929,3127.738
0.930,3130.273
0.931,3132.806
0.932,3135.338
0.933,3137.868
0.934,3140.397
0.935,3142.925
0.936,3145.450
0.937,3147.975
0.938,3150.498
0.939,3153.019
0.940,3155.539
0.941,3158.058
0.942,3160.575
0.943,3163.090
0.944,3165.604
0.945,3168.117
0.946,3170.628
0.947,3173.137
0.948,3175.645
0.949,3178.152
0.950,3180.657
0.951,3183.161
0.952,3185.663
0.953,3188.164
0.954,3190.664
0.955,3193.162
0.956,3195.658
0.957,3198.153
0.958,3200.646
0.959,3203.139
0.960,3205.629
0.961,3208.118
0.962,3210.606
0.963,3213.092
0.964,3215.577
0.965,3218.060
0.966,3220.542
0.967,3223.023
0.968,3225.502
0.969,3227.979
0.970,3230.455
0.971,3232.930
0.972,3235.403
0.973,3237.875
0.974,3240.345
0.975,3242.814
0.976,3245.282
0.977,3247.748
0.978,3250.212
0.979,3252.676
0.980,3255.137
0.981,3257.598
0.982,3260.056
0.983,3262.514
0.984,3264.970
0.985,3267.424
0.986,3269.878
0.987,3272.329
0.988,3274.780
0.989,3277.228
0.990,3279.676
0.991,3282.122
0.992,3284.566
0.993,3287.010
0.994,3289.451
0.995,3291.892
0.996,3294.331
0.997,3296.768
0.998,3299.204
0.999,3301.639
1.000,3304.072
1.001,3306.504
1.002,3308.934
1.003,3311.363
1.004,3313.791
1.005,3316.217
1.006,3318.642
1.007,3321.065
1.008,3323.487
1.009,3325.908
1.010,3328.327
1.011,3330.745
1.012,3333.161
1.013,3335.576
1.014,3337.990
1.015,3340.402
1.016,3342.813
1.017,3345.222
1.018,3347.630
1.019,3350.037
1.020,3352.442
1.021,3354.846
1.022,3357.248
1.023,3359.649
1.024,3362.049
1.025,3364.447
1.026,3366.844
1.027,3369.239
1.028,3371.633
1.029,3374.026
1.030,3376.417
1.031,3378.807
1.032,3381.196
1.033,3383.583
1.034,3385.969
1.035,3388.353
1.036,3390.736
1.037,3393.118
1.038,3395.498
1.039,3397.877
1.040,3400.255
1.041,3402.631
1.042,3405.006
1.043,3407.379
1.044,3409.751
1.045,3412.122
1.046,3414.491
1.047,3416.859
1.048,3419.226
1.049,3421.591
1.050,3423.955
1.051,3426.318
1.052,3428.679
1.053,3431.039
1.054,3433.397
1.055,3435.754
1.056,3438.110
1.057,3440.464
1.058,3442.817
1.059,3445.169
1.060,3447.519
1.061,3449.868
1.062,3452.216
1.063,3454.562
1.064,3456.907
1.065,3459.251
1.066,3461.593
1.067,3463.934
1.068,3466.273
1.069,3468.612
1.070,3470.949
1.071,3473.284
1.072,3475.618
1.073,3477.951
1.074,3480.283
1.075,3482.613
1.076,3484.942
1.077,3487.269
1.078,3489.595
1.079,3491.920
1.080,3494.244
1.081,3496.566
1.082,3498.887
1.083,3501.206
1.084,3503.524
1.085,3505.841
1.086,3508.157
1.087,3510.471
1.088,3512.784
1.089,3515.096
1.090,3517.406
