pgc,Nest,Dist,DM,eD,C,T,L,M,S,N,H,F,RAJ,DeJ,Glon,Glat,SGL,SGB,Ty,Asfd,Btot,Ks,Vhel,Vgsr,Vls,Vcmb,Vmod,Name,Icnt,2Mass,Ndgp,Dgp,DMgp,eDgp,NV,Lgp,Bgp,SGLgp,SGBgp,Tgp,S_B,S_K,Vhgp,Vggp,Vlsgp,Vcgp,Vmgp,Vrms,GroupName
72926,200168,99.54,34.99,0.20,,,,,,,H,,235606.1,+292239.7,108.7152,-31.9616,322.5171,20.2484,3,0.27,15.46,0.00,6932,7127,7198,6595,6710,UGC12850,0,0,1,99.54,34.99,0.20,1,108.7152,-31.9616,322.5171,20.2484,3,15.46,0.00,6932,7127,7198,6595,6710,0,
72930,201094,83.18,34.60,0.20,,,,,,,H,,235607.9,+003257.8,95.0286,-59.2927,292.9257,14.3126,0,0.16,15.41,11.23,6683,6804,6852,6321,6427,UGC12849,0,0,1,83.18,34.60,0.20,1,95.0286,-59.2927,292.9257,14.3126,0,15.41,11.23,6683,6804,6852,6321,6427,0,
72939,0,133.66,35.63,0.20,,,,,,,H,,235616.6,+292319.0,108.7621,-31.9605,322.5338,20.2119,4,0.28,17.18,0.00,9057,9252,9323,8720,8920,AGC332073,2935,3850,55,128.82,35.55,0.03,55,103.8868,-33.0813,319.6544,23.5308,-2,0.00,7.00,9299,9497,9567,8954,9165,713,A2634
72957,0,52.97,33.62,0.20,,,,,,,H,,235628.8,-813403.1,305.3777,-35.2980,214.8380,-13.4242,8,0.58,14.47,0.00,1941,1775,1722,1933,1943,ES012-010,1028,0,1,52.97,33.62,0.20,2,305.4188,-35.9240,215.4800,-13.3706,9,13.89,0.00,1947,1783,1730,1935,1945,11,"72957  ES012-010"
72968,200974,116.41,35.33,0.20,,,,,,,H,,235634.4,+271202.9,108.1788,-34.0943,320.2338,19.8605,4,0.17,15.74,0.00,7906,8097,8167,7564,7715,AGC331021,2937,4112,14,113.76,35.28,0.06,14,106.7468,-33.6147,320.2018,21.1432,3,0.00,8.89,8052,8245,8315,7709,7866,460,A2666
72972,200974,129.42,35.56,0.20,,,,,,,H,,235637.3,+270615.0,108.1614,-34.1901,320.1340,19.8368,0,0.18,14.67,10.97,7885,8075,8145,7543,7693,UGC12855,2937,4112,14,113.76,35.28,0.06,14,106.7468,-33.6147,320.2018,21.1432,3,0.00,8.89,8052,8245,8315,7709,7866,460,A2666
72973,206760,128.82,35.55,0.20,,,,,,,H,,235642.0,+134634.9,103.2466,-46.9925,306.2911,17.4466,2,0.20,14.82,11.50,10860,11020,11080,10498,10788,UGC12854,0,0,1,128.82,35.55,0.20,1,103.2466,-46.9925,306.2911,17.4466,2,14.82,11.50,10860,11020,11080,10498,10788,0,
72983,212139,30.34,32.41,0.20,,,,,,,H,,235647.4,+012115.2,95.9617,-58.6256,293.7722,14.3755,4,0.12,14.36,10.77,2456,2579,2628,2094,2106,UGC12857,0,0,1,30.34,32.41,0.20,1,95.9617,-58.6256,293.7722,14.3755,4,14.36,10.77,2456,2579,2628,2094,2106,0,
72996,202521,62.52,33.98,0.20,,,,,,,H,,235658.0,+104927.8,101.9313,-49.8133,303.2954,16.7253,3,0.39,15.13,11.09,5236,5387,5446,4873,4936,UGC12860,0,0,1,62.52,33.98,0.20,1,101.9313,-49.8133,303.2954,16.7253,3,15.13,11.09,5236,5387,5446,4873,4936,0,
73004,0,175.39,36.22,0.20,,,,,,,H,,235704.6,+334129.5,110.1598,-27.8284,327.1153,20.5196,2,0.24,15.78,0.00,10534,10736,10809,10208,10482,AGC331024,0,0,1,175.39,36.22,0.20,1,110.1598,-27.8284,327.1153,20.5196,2,15.78,0.00,10534,10736,10809,10208,10482,0,
73021,200601,179.47,36.27,0.20,,,,,,,H,,235719.0,+083032.1,100.8428,-52.0264,300.9713,16.0947,4,0.29,17.28,0.00,11247,11392,11448,10883,11194,UGC12863,0,0,1,179.47,36.27,0.20,1,100.8428,-52.0264,300.9713,16.0947,4,17.28,0.00,11247,11392,11448,10883,11194,0,
73023,0,47.42,33.38,0.20,,,,,,,H,,235724.0,+305931.5,109.4973,-30.4659,324.2606,20.1633,3,0.23,14.73,0.00,4699,4896,4968,4366,4416,UGC12864,0,0,1,47.42,33.38,0.20,1,109.4973,-30.4659,324.2606,20.1633,3,14.73,0.00,4699,4896,4968,4366,4416,0,
73027,205527,124.74,35.48,0.20,,,,,,,H,,235728.6,-290250.9,20.6254,-77.9517,264.5937,4.4516,3,0.08,13.86,10.25,8864,8878,8890,8570,8764,ESO471-049,2941,3333,46,117.94,35.36,0.03,68,24.4980,-76.0976,264.6243,6.4965,-2,0.00,6.82,8851,8871,8885,8552,8745,761,Klemola44
73049,0,3.58,27.77,0.07,C,T,,,,,H,,235749.8,-323527.7,4.5161,-77.1710,261.3011,3.1216,7,0.08,9.70,7.24,227,227,235,-52,-52,NGC007793,233,0,9,3.61,27.79,0.03,9,110.1049,-81.3626,270.2023,-1.2171,7,7.48,3.75,207,218,235,-81,-81,85,"2789  AGC020535"
73053,0,125.31,35.49,0.20,,,,,,,H,,235753.1,+222121.7,106.9715,-38.8503,315.2084,18.8219,6,0.25,16.63,0.00,8083,8263,8330,7732,7890,UGC12866,0,0,1,125.31,35.49,0.20,1,106.9715,-38.8503,315.2084,18.8219,6,16.63,0.00,8083,8263,8330,7732,7890,0,
73079,200314,114.82,35.30,0.20,,,,,,,H,,235812.6,+282751.1,108.9769,-32.9610,321.6160,19.6737,5,0.36,15.86,0.00,8505,8697,8768,8166,8342,AGC331039,0,0,1,114.82,35.30,0.20,1,108.9769,-32.9610,321.6160,19.6737,5,15.86,0.00,8505,8697,8768,8166,8342,0,
73083,200492,130.02,35.57,0.20,,,,,,,H,,235817.3,-300641.0,15.4543,-77.9688,263.6584,3.9103,3,0.08,14.79,11.82,9032,9041,9052,8743,8944,ESO471-051,2941,3333,46,117.94,35.36,0.03,68,24.4980,-76.0976,264.6243,6.4965,-2,0.00,6.82,8851,8871,8885,8552,8745,761,Klemola44
73098,0,145.21,35.81,0.09,,,,,,N,,,235831.9,-184250.5,64.8289,-75.2117,274.4330,7.7919,2,0.10,15.41,0.00,10206,10258,10284,9879,10136,ESO538-013,0,0,1,145.21,35.81,0.09,1,64.8289,-75.2117,274.4330,7.7919,2,15.41,0.00,10206,10258,10284,9879,10136,0,
73102,0,106.66,35.14,0.20,,,,,,,H,,235830.5,+095821.7,102.0620,-50.7417,302.5240,16.1583,5,0.40,15.50,0.00,6413,6561,6619,6050,6147,UGC12871,0,0,1,106.66,35.14,0.20,1,102.0620,-50.7417,302.5240,16.1583,5,15.50,0.00,6413,6561,6619,6050,6147,0,
73123,202255,106.17,35.13,0.20,,,,,,,H,,235857.2,-021458.5,93.9073,-62.1267,290.3679,12.8461,4,0.17,15.28,11.57,7645,7755,7801,7287,7427,AGC630346,0,0,1,106.17,35.13,0.20,1,93.9073,-62.1267,290.3679,12.8461,4,15.28,11.57,7645,7755,7801,7287,7427,0,
73126,208120,51.29,33.55,0.14,,,,,S,,,,235859.8,-552730.2,317.8930,-60.1204,239.9848,-5.2170,-4,0.04,12.44,8.36,3342,3256,3233,3175,3202,N7796,0,0,1,51.29,33.55,0.14,1,317.8930,-60.1204,239.9848,-5.2170,-4,12.44,8.36,3342,3256,3233,3175,3202,0,
